Date,Cases_Mean,Cases_LB,Cases_UB,Deaths_Mean,Deaths_LB,Deaths_UB,hospitalized_best,hospitalized_mean,hospitalized_worst,ICU_best,ICU_mean,ICU_worst,total_beds,regular_bed_supply_best,regular_bed_supply_mean,regular_bed_supply_worst,total_ICU_beds,ICU_bed_supply_best,ICU_bed_supply_mean,ICU_bed_supply_worst,patient_vent_lb,patient_vent_mean,patient_vent_ub,total_vents,open_vents_lb,open_vents_mean,open_vents_ub,med_tech,med_tech_active,med_tech_supply,med_tech_demand,nurse,nurse_active,nurse_supply,nurse_demand,phys,phys_active,phys_supply,phys_demand,resp,resp_active,resp_supply,resp_demand
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-25,0,0,1,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
